viewDate,areaMunKm,areaUcKm,uc,uf,municipio
12/12/2019,0.21,0,,PA,Prainha
12/12/2019,0.06,0,,PA,Prainha
12/12/2019,0.18,0,,PA,Senador Jose Porfirio
12/12/2019,0.13,0,,PA,Senador Jose Porfirio
12/12/2019,0.08,0,,PA,Senador Jose Porfirio
12/12/2019,0.29,0,,PA,Senador Jose Porfirio
12/12/2019,0.21,0,,PA,Porto de Moz
12/12/2019,0.19,0,,PA,Porto de Moz
12/12/2019,0.09,0,,PA,Senador Jose Porfirio
12/12/2019,0.4,0,,PA,Senador Jose Porfirio
12/12/2019,0.5,0,,PA,Novo Repartimento
12/12/2019,0.16,0,,PA,Porto de Moz
12/12/2019,0.14,0,,PA,Itupiranga
12/12/2019,0.08,0,,PA,Itupiranga
12/12/2019,0.07,0,,PA,Itupiranga
12/12/2019,0.11,0,,PA,Itupiranga
12/12/2019,0.12,0,,PA,Anapu
12/12/2019,0.06,0,,PA,Floresta do Araguaia
12/12/2019,0.07,0,,PA,Portel
12/12/2019,0.13,0,,PA,Novo Repartimento
12/12/2019,0.1,0,,PA,Novo Repartimento
12/12/2019,0.15,0,,PA,Novo Repartimento
12/12/2019,0.07,0,,PA,Portel
12/12/2019,0.13,0,,PA,Itupiranga
12/12/2019,0.11,0,,PA,Senador Jose Porfirio
12/12/2019,0.14,0,,PA,Senador Jose Porfirio
12/12/2019,0.17,0,,PA,Senador Jose Porfirio
12/12/2019,0.37,0,,PA,Senador Jose Porfirio
12/12/2019,0.13,0,,PA,Senador Jose Porfirio
12/12/2019,0.1,0,,PA,Senador Jose Porfirio
12/12/2019,0.12,0,,PA,Senador Jose Porfirio
12/12/2019,0.08,0,,PA,Pacaja
12/12/2019,0.09,0,,PA,Tucurui
12/12/2019,0.11,0,,PA,Senador Jose Porfirio
12/12/2019,0.47,0,,PA,Senador Jose Porfirio
12/12/2019,0.44,0,,PA,Senador Jose Porfirio
12/12/2019,0.39,0,,PA,Portel
12/12/2019,0.27,0,,PA,Portel
12/12/2019,0.47,0,,PA,Pacaja
12/12/2019,0.51,0,,PA,Pacaja
12/12/2019,0.26,0,,PA,Pacaja
12/12/2019,0.08,0,,PA,Pacaja
12/12/2019,0.07,0,,PA,Pacaja
12/12/2019,0.08,0,,PA,Senador Jose Porfirio
12/12/2019,0.16,0,,PA,Pacaja
12/12/2019,0.07,0,,PA,Pacaja
12/12/2019,0.14,0,,PA,Pacaja
12/12/2019,0.12,0,,PA,Itupiranga
12/12/2019,0.15,0,,PA,Portel
12/12/2019,0.11,0,,PA,Portel
12/12/2019,0.2,0,,PA,Itupiranga
12/12/2019,0.08,0,,PA,Itupiranga
12/12/2019,0.19,0,,PA,Portel
12/12/2019,0.12,0,,PA,Moju
12/12/2019,0.23,0,,PA,Portel
12/12/2019,0.22,0,,PA,Portel
12/12/2019,0.2,0,,PA,Portel
12/12/2019,0.35,0,,PA,Portel
12/12/2019,0.13,0,,PA,Portel
12/12/2019,0.18,0,,PA,Moju
12/12/2019,0.09,0,,PA,Moju
12/12/2019,0.15,0,,PA,Moju
12/12/2019,0.12,0,,PA,Moju
12/12/2019,0.2,0,,PA,Moju
12/12/2019,0.07,0,,PA,Goianesia do Para
12/12/2019,0.25,0,,PA,Moju
12/12/2019,0.19,0,,PA,Bagre
12/12/2019,0.11,0,,PA,Anapu
12/12/2019,0.08,0,,PA,Anapu
12/12/2019,0.24,0,,PA,Ipixuna do Para
12/12/2019,0.11,0,,PA,Anapu
12/12/2019,0.07,0,,PA,Pacaja
12/12/2019,0.52,0,,PA,Dom Eliseu
12/12/2019,0.07,0,,PA,Anapu
12/12/2019,0.06,0,,PA,Anapu
12/12/2019,0.1,0,,PA,Baiao
12/12/2019,0.1,0,,PA,Baiao
12/12/2019,0.1,0,,PA,Baiao
12/12/2019,0.07,0,,PA,Baiao
12/12/2019,0.16,0,,PA,Baiao
12/12/2019,0.07,0,,PA,Baiao
12/12/2019,0.09,0,,PA,Baiao
12/12/2019,0.06,0,,PA,Baiao
12/12/2019,0.15,0,,PA,Baiao
12/12/2019,0.11,0,,PA,Portel
12/12/2019,0.25,0,,PA,Portel
12/12/2019,0.07,0,,PA,Cameta
12/12/2019,0.07,0,,MT,Terra Nova do Norte
12/12/2019,0,0,,MT,Nova Santa Helena
12/12/2019,0.17,0,,MT,Marcelandia
12/12/2019,0.07,0,,PA,Cumaru do Norte
12/12/2019,0.12,0,,PA,Cumaru do Norte
12/12/2019,0.07,0,,PA,Sao Felix do Xingu
12/12/2019,5.92,0,,MT,Marcelandia
12/12/2019,0.15,0,,MT,Nova Ubirata
12/12/2019,0.09,0,,PA,Cumaru do Norte
12/12/2019,0.15,0,,PA,Cumaru do Norte
12/12/2019,0.16,0,,PA,Cumaru do Norte
12/12/2019,3.4,0,,MT,Marcelandia
12/12/2019,2.46,0,,MT,Marcelandia
12/12/2019,0.23,0,,PA,Santana do Araguaia
12/12/2019,1.19,0,,MT,Marcelandia
12/12/2019,0.4,0,,MT,Marcelandia
12/12/2019,0.89,0,,MT,Marcelandia
12/12/2019,0.75,0,,MT,Marcelandia
12/12/2019,0.84,0,,MT,Marcelandia
12/12/2019,0.41,0,,MT,Marcelandia
12/12/2019,1.37,0,,MT,Marcelandia
